studytime,traveltime,failures,freetime,absences,G1,G2,G3
1,1,0,4,2,10,8,8
1,2,0,3,11,12,10,11
2,2,3,4,0,7,7,8
1,1,0,5,4,9,9,10
1,1,1,4,0,9,9,10
1,3,0,5,2,9,10,11
1,2,0,2,0,9,10,9
2,3,0,4,1,9,10,11
1,1,0,3,6,7,7,8
2,2,0,3,0,11,10,11
1,1,1,4,1,9,10,10
3,2,2,3,6,7,9,10
3,1,1,3,6,7,9,9
1,2,1,4,0,8,9,10
1,2,1,2,4,9,11,10
2,2,1,1,12,7,8,9
2,1,0,3,2,8,10,10
1,2,0,4,5,9,9,10
2,1,0,4,0,8,9,9
1,1,0,5,0,14,13,13
1,1,0,4,2,14,14,14
4,2,1,4,0,10,11,10
2,1,0,3,0,14,13,14
1,1,0,2,0,17,16,16
1,1,1,3,12,6,7,7
1,1,0,2,8,14,12,13
4,3,1,3,2,10,8,9
4,1,0,2,0,14,14,14
3,1,0,4,0,12,13,13
1,2,0,4,0,11,11,11
2,2,1,3,8,11,9,10
3,1,0,3,0,11,11,10
1,3,1,4,0,10,9,9
2,3,0,3,0,16,17,18
2,2,0,3,0,15,17,17
2,2,0,4,1,11,9,10
2,1,1,3,9,7,7,7
1,1,0,1,0,8,6,8
1,1,0,1,2,7,6,7
2,2,0,3,8,9,8,10
2,1,0,3,0,14,16,16
1,2,0,4,0,14,14,15
2,1,1,3,8,8,5,8
2,2,0,2,0,8,7,0
2,3,0,3,6,6,8,8
2,2,0,3,0,8,10,10
2,1,0,3,4,8,8,8
4,1,0,5,2,5,6,6
2,3,0,2,2,7,9,8
3,1,0,4,0,15,14,16
1,1,0,2,1,13,14,14
3,4,0,1,0,10,9,10
1,1,0,1,5,9,9,9
1,2,0,1,1,11,11,11
1,1,0,1,8,7,10,9
2,3,0,1,0,10,10,10
2,2,0,2,2,9,7,8
2,1,0,2,0,14,15,16
1,1,0,1,0,11,12,12
2,3,0,5,11,9,11,10
4,3,0,4,8,13,14,14
1,1,0,3,11,12,13,12
3,1,0,3,2,11,11,11
2,2,0,2,8,9,10,10
1,2,0,3,5,9,11,11
2,2,0,1,0,11,9,11
3,2,0,3,1,10,11,12
1,3,3,3,2,9,9,8
1,2,0,1,2,12,11,12
2,1,1,4,8,8,9,8
2,1,0,2,0,13,15,16
1,1,0,1,0,10,11,11
2,1,0,5,2,11,10,11
2,2,0,3,0,17,18,18
2,2,0,1,0,12,13,13
2,2,0,1,0,13,14,13
2,1,2,4,2,9,9,10
1,1,0,1,4,11,11,12
1,2,0,5,3,10,11,10
3,1,0,3,5,13,14,13
1,1,0,4,4,9,10,11
2,2,3,4,2,7,9,10
1,2,0,5,0,8,13,10
1,3,1,3,0,12,12,13
1,2,0,5,0,10,9,10
2,2,0,3,6,10,9,10
2,1,0,4,0,11,13,12
1,1,1,2,0,7,0,0
1,2,0,5,2,11,9,10
1,2,0,5,0,10,10,9
1,2,1,3,2,9,7,9
1,1,1,3,0,4,0,0
1,2,3,2,4,6,11,9
2,1,2,4,9,4,8,8
1,2,0,4,6,7,8,8
1,2,3,4,4,8,9,9
2,2,2,5,8,5,5,7
1,1,0,3,9,7,9,10
1,2,1,4,12,8,11,10
1,1,0,4,8,10,11,10
1,2,0,5,8,9,10,11
2,3,1,4,8,10,9,11
2,2,1,5,4,8,9,10
1,1,0,3,0,9,10,9
1,3,1,4,4,8,9,10
2,2,2,3,2,6,8,8
1,1,0,4,0,6,8,7
1,2,1,5,0,8,6,0
1,2,0,4,0,10,11,11
3,2,0,2,5,8,7,8
2,1,0,5,0,8,8,0
2,1,1,3,3,7,6,8
1,1,0,2,0,8,10,9
1,1,0,5,0,7,10,10
2,3,2,4,3,7,8,7
2,2,0,3,2,12,13,14
1,2,0,4,0,11,12,13
2,2,0,4,0,12,13,14
2,2,0,3,0,18,18,18
1,1,0,4,3,17,17,17
2,2,0,3,0,17,18,18
2,3,1,3,0,9,0,0
1,2,0,1,8,10,11,11
1,3,0,5,5,12,13,14
1,3,0,2,4,12,13,14
2,2,0,3,4,8,8,10
3,2,0,4,0,11,12,13
2,1,0,3,0,5,0,0
2,3,1,4,2,9,10,10
1,2,1,5,0,5,0,0
4,2,0,2,0,18,18,18
2,2,0,3,5,11,11,12
2,1,0,2,2,8,10,11
2,2,0,1,0,11,11,12
2,2,3,5,0,8,0,0
3,2,0,2,5,14,14,15
2,2,1,5,4,10,11,11
2,1,0,3,0,10,10,10
2,2,0,3,2,12,12,12
2,2,0,2,0,15,14,15
1,2,0,3,2,14,13,14
3,2,0,3,0,19,17,18
2,3,0,3,0,16,15,15
2,2,0,3,6,13,12,13
2,1,0,3,4,15,14,15
2,2,0,2,0,13,13,13
2,2,0,3,0,8,10,9
3,2,0,2,0,15,16,16
1,3,1,2,0,8,8,9
1,2,0,2,0,10,10,10
2,3,0,2,0,7,5,0
1,3,0,3,3,9,10,10
3,1,0,4,8,10,11,12
1,1,0,5,4,7,8,9
3,2,0,4,0,15,17,17
3,4,0,3,4,10,11,12
2,2,1,3,4,7,8,9
2,1,0,4,1,13,14,14
2,1,0,1,1,16,16,16
2,1,0,5,10,8,9,9
2,1,0,2,4,17,18,19
1,2,0,4,0,7,7,0
2,2,0,4,4,14,15,16
1,2,1,3,0,5,8,0
1,2,1,4,0,7,7,0
3,2,0,3,0,14,17,15
2,2,0,5,0,6,9,11
1,3,0,4,4,7,9,10
3,1,1,4,4,10,11,10
2,1,0,3,4,15,15,16
2,2,0,1,6,11,12,9
1,2,0,4,6,10,10,10
1,3,0,4,4,10,11,11
